Track Name,Country,Length (km)
Goodwood Hill Climb,United Kingdom,1.86
Gotland Ring (Gp Track),Sweden,7.3
Gotland Ring (Northern Loop),Sweden,3.2
Grand Sambuc,France,1.9
Grand Tour Eboladrome,United Kingdom,2.0
Grand Tour Rallycross,United Kingdom,1.0
Grattan Raceway,United States,3.02
Gunsai,Japan,1.0
Gunsai Touge,Japan,5.89
Gymkhana,Japan,0.5
Hachi Highland Hillclimb,Japan,2.5
Haras Tuiuti,Brazil,2.5
Harewood Hill Climb,United Kingdom,1.43
Haute Saintonge,France,2.2
Hockenheim Gp,Germany,4.57
Hockenheim Gp 1981,Germany,6.79
Hockenheim Short,Germany,2.64
"Hockenheim Short ""Powercar Layout""",Germany,2.56
Hungaroring,Hungary,4.38
Imola (1981-1994),Italy,5.01
Imola (Post 2008),San Marino,4.91
Inde Motorsports Ranch Configuration 4,United States,3.54
Indianapolis Motor Speedway Road Course,United States,3.86
Inta,Spain,1.76
Inta Long,Spain,
Inta Long (Conf 2),Spain,
Interlagos,Brazil,4.31
Istanbul Park,Turkey,5.34
Jarama,Spain,3.85
Jeddah Corniche Circuit,Saudi Arabia,6.17
Jerez,Spain,4.43
Kakucs Ring,Hungary,1.05
Killarney,South Africa,3.27
Knockhill International Circuit,United Kingdom,2.09
Kotarr,Spain,
Kyalami,South Africa,
Kyalami (New),South Africa,4.52
Kühtai Bergstraße,Austria,1.33
La Chatre,France,1.3
Laguna Seca (Post 1988),United States,3.6
Laguna Seca (Pre 1988),United States,3.06
Laquais,France,2.4
Las Vegas Motor Speedway Inside Road Course,United States,1.77
Las Vegas Motor Speedway Inside Road Course Short,United States,1.22
Le Mans (Bugatti),France,4.18
Le Mans (Bugatti) (1976-1986),France,4.24
Lime Rock Park,United States,2.41
Lime Rock Park With Uphill Chicane,United States,2.37
Linas-Montlhery,France,
Linas-Montlhery (9Km),France,9.0
Linas-Montlhery 9181 M,France,9.18
Llandow,United Kingdom,1.45
Long Beach Grand Prix Circuit,United States,3.17
Los Arcos (Navarra),Spain,3.93
Losail International Circuit,Qatar,5.4
Luk Driving Center,Germany,2.77
Lydden Hill,United Kingdom,1.61
Madras Motor Race Track,India,3.74
Magione,Italy,2.51
Magny Cours,France,3.85
Mallory Park,United Kingdom,2.17
Mantorp Park,Sweden,3.1
Marcoussis,France,1.85
Marina Bay,Singapore,5.06
Marlboro Motor Raceway,United States,2.9
Megara,Greece,2.09
Memphis International Raceway,United States,2.9
Mendig Afb Circuit,Germany,4.24
Miami International Autodrome,United States,5.41
Milford Road Course,United States,4.67
Millbrook Alpine Hill Route,United Kingdom,3.1
Millbrook Handling Circuit,United Kingdom,1.38
Miller Motorsports Park,United States,4.9
Mira Dry Handling Track,United Kingdom,0.96
Miramas Handling Course,France,2.6
Mireval,France,3.3
Mireval (1994),France,3.2
Mittsverigebanan,Sweden,1.95
Mnevniki Airfield,Russia,
Modena Aerautodromo (1950-1972),Italy,2.31
Modena Autodrome,Italy,2.01
Monaco (Post 2014),Monaco,3.34
Monaco Formula E (2014-2019),Monaco,1.76
Monteblanco Wet Handling,Spain,1.43
Monticello Motor Club (Full Length),United States,5.79
Monticello Motor Club North Course,United States,3.06
Monza,Italy,5.79
Mornay,France,3.0
Moroso Motorsports Park,United States,3.62
Mortefontaine,France,3.5
Moscow Raceway Gp,Russia,3.95
Moscow Street Circuit,Russia,2.39
Motortrend Figure-8,United States,
Motortrend Ice Handling Course,United States,0.8
Motovision Handling Course,Germany,
Motown Mile,United States,1.82
Mugello,Italy,5.25
Nardo Handling Course,Italy,
Nardo Handling Course Conf 2 (2.8 Km),Italy,2.8
Ncm Motorsport Park,United States,3.22
Ncm Motorsports Park,United States,4.67
Ncm Motorsports Park Grand Full,United States,5.14
Nelson Ledges Raceway,United States,
New Jersey Motorsports Park (Thunderbolt),United States,3.62
Nihonkai Maze,Japan,2.0
Nikko,Japan,1.03
Nufenen Pass,Switzerland,1.49
Nürburgring Gp (3.1 Km),Germany,3.06
Nürburgring Gp (5.15 Km),Germany,5.15
Nürburgring Gp Sprint,Germany,3.7
Nürburgring Nordschleife,Germany,20.6
Nürburgring Nordschleife (1927-1966),Germany,22.81
Nürburgring Nordschleife (1967-1970),Germany,22.83
Nürburgring Nordschleife (1973-1982),Germany,22.83
Nürburgring Nordschleife Btg,Germany,19.1
Nürburgring Nordschleife Full,Germany,20.81
Old Highway,Latvia,0.95
Ontario Motor Speedway,United States,5.14
Oregon Raceway Park Ccw,United States,3.7
Oregon Raceway Park Cw,United States,3.7
Oschersleben,Germany,3.67
Oulton Park (Full Circuit),United Kingdom,4.46
Oulton Park (Island Circuit),United Kingdom,3.64
Pacific Raceways,United States,3.68
Palm Beach International Raceway,United States,3.27
Palma Renn Arena,Spain,2.5
Pannonia Ring,Hungary,4.74
Papenburg Handling Course,Germany,
Pembrey (Post 2017),United Kingdom,2.34
Pembrey (Pre 2017),United Kingdom,2.34
Pferdsfeld,Germany,1.8
Phillip Island,Australia,4.44
Pikes Peak,United States,19.99
Pittsburgh International Race Complex,United States,4.51
Pocono Raceway Road Course Short Counterclockwise (Pre 1985),United States,2.9
Puerto Madero Street Circuit,Argentina,2.48
Punta Del Este Formula E (Pre 2015),Uruguay,2.81
Putnam Park,United States,2.86
Putrajaya Street Circuit,Malaysia,2.56
Queensland Raceway Sprint Circuit,Australia,1.89
Raceland,Slovenia,1.05
Red Bull Ring,Austria,4.33
Reno-Fernley Raceway Conf 1 (2.74 M),United States,
Reno-Fernley Raceway Conf 2 (1.7M),United States,2.57
Ridge Motorsports Park,United States,3.98
Ring Knutstorp,Sweden,2.07
Ring Knutstrop (Conf 2),Sweden,2.07
Riverside Raceway,United States,5.31
Road America,United States,6.51
Road Atlanta,United States,4.09
Rockingham International Super Sportscar,United Kingdom,3.12
Rockingham National,United Kingdom,2.74
Rockingham Oval Circuit,United Kingdom,2.38
Roebling Road Raceway,United States,3.25
Rudskogen (Post 2012),Norway,3.25
Rudskogen (Pre 2012),Norway,1.9
Rustavi International Motorpark,Georgia,4.14
Sachsenring,Germany,3.67
Salzburgring,Austria,4.24
Sandown,Australia,3.1
Sebring International Raceway,United States,5.95
Sendai Hi-Land Raceway,Japan,4.03
Sepang,Malaysia,5.54
Serres Racing Circuit,Greece,3.19
Shanghai International Circuit,China,5.45
Silverstone,United Kingdom,5.13
Silverstone (International),United Kingdom,2.98
Silverstone (National Circuit),United Kingdom,2.64
Silverstone Gp (Post 2011),United Kingdom,5.89
Silverstone Southern Loop,United Kingdom,3.2
Silverstone Stowe,United Kingdom,1.28
Smolensk Ring,Russia,3.36
Snetterton 200,United Kingdom,3.22
Snetterton 300,United Kingdom,4.67
Sochi Autodrom,Russia,5.85
Sodegaura Forest Raceway,Japan,2.44
Solo Ii Autocross Circuit,United States,0.64
Sonoma Raceway (Full),United States,4.06
Spa Francorchamps,Belgium,7.0
Spa Francorchamps (1939–1978),Belgium,14.12
Sportauto Wet Handling Test,Germany,1.78
Spring Mountain,United States,
Spring Mountain (Mansell C),United States,5.35
Spring Mountain (Radical Loop Section),United States,2.41
Streets Of Willow (0.96 Mile),United States,1.54
Sturup Raceway,Sweden,2.09
Sugo,Japan,
Summit Point,United States,3.2
Suzuka,Japan,5.81
Tempelhof Airport Street Circuit (2014 - 2015),Germany,2.47
Texas World Speedway,United States,4.67
Thermal Club Raceway,United States,
Thermal Club Raceway Long,United States,4.83
Thruxton,United Kingdom,3.79
Thunderhill Park East,United States,4.83
Thunderhill Park West,United States,3.22
Tochigi Honda Test Course,Japan,2.0
Top Gear Rallycross Track,United Kingdom,2.0
Top Gear Track,United Kingdom,2.82
Tor Poznan,Poland,4.08
Toronto Motorsports Park,Canada,2.99
Tsukuba,Japan,2.07
Twin Ring Motegi East,Japan,3.4
Twin Ring Motegi Gp,Japan,4.8
U-Drag,United States,1.21
Vairano Handling Course,Italy,2.6
Vairano Pro,Italy,3.32
Val De Vienne,France,3.73
Vallelunga International Circuit,Italy,3.22
Vasco Sameiro (Braga),Portugal,3.02
Velo Citta (1.68 Km),Brazil,1.68
Virginia International Raceway,United States,5.26
Virginia International Raceway Grand East Course (Post 01/2014),United States,6.76
Virginia International Raceway Grand East Course (Pre 01/2014),United States,6.76
Wakefield Park,Australia,2.2
Waterford Hills,United States,2.41
Willow Springs,United States,3.9
Willow Springs - Horse Thief Mile,United States,1.61
Willow Springs - Streets Of Willow,United States,2.49
Willow Springs - Streets Of Willow (1.7 Miles),United States,2.74
Willow Springs - Streets Of Willow Ccw,United States,2.49
Winterfahrtraining.At Eishandlingkurs,Austria,2.0
Winton (National Circuit),Australia,3.0
Yas Marina (Post 2021),United Arab Emirates,5.28
Yas Marina (Pre 2021),United Arab Emirates,5.55
Yas Marina Short,United Arab Emirates,2.36
Zandvoort Gp (Post 2019),Netherlands,4.26
Zandvoort Gp (Pre 2020),Netherlands,4.31
Zhejiang Circuit,China,3.2
Zolder,Belgium,3.98
Zwartkops,South Africa,2.4
