,Balocco,Le Mans (Bugatti),Nürburgring Nordschleife,Hockenheim Short,Laguna Seca (Post 1988),Top Gear Track,Sachsenring,Circuit De Nevers Magny-Cours Club,Ring Knutstrop (Conf 2),Vairano Handling Course
Opel Astra OPC,184.78,,,,,92.0,,91.06,78.7,85.87
Honda Civic Type R,184.9,,,,,92.8,,,,
Audi S3 Sportback,185.06,,,,,,,,,
Audi TT Roadster 2.0 TFSI,185.16,,,,,,,,,
Mazda MX-5 Grand Touring,185.24,,,,112.2,,,,,
Jaguar XF 5.0 (Mk I),185.3,,,,,,,,,
BMW 325d,185.39,,,,,,,,,
Jaguar XK8,185.67,,,,,,,,,
VW Scirocco 2.0 TSI (Mk III),185.74,,,,,,,90.63,79.4,
Audi A6 3.0 TDI Quattro (C7),185.97,,,,,,,,,84.95
Peugeot 208 GTI (200 PS),186.05,,,,,93.2,,87.3,78.7,
Mazda MX-5 2.0 (Mk III),186.3,,,,,,,93.25,79.3,
Mercedes-Benz CL 500,186.4,,,,,,,,,
Peugeot RCZ GT THP200,186.41,,,,,,,91.0,80.3,
Nissan 350Z Roadster,186.49,,,,,,,,,85.61
Renault Clio RS 200 EDC,186.55,,,,,92.0,,91.32,,
Opel GT,186.76,,,,,,,,78.6,
Audi SQ5 TDI (8R),186.77,,,,,,,,,
Ford Focus ST,186.8,,,,109.3,89.6,,92.78,78.0,
BMW 335d Touring,186.9,,,,,,,,,
Peugeot 207 GTI,187.0,,,,,,,,,
Opel Insignia OPC (Mk I),187.0,,,,,,,,78.0,
Mini John Cooper Works,187.22,,,,,,,91.01,78.1,
Renault Clio RS III Cup,187.34,,,,,93.8,,,,
Mazda 3 MPS (Mk II),187.4,,,,,,,90.3,78.7,
Mini Cooper S (Mk II),187.44,,,,111.98,,,93.23,81.1,86.78
Giulietta Quadrifoglio Verde,187.5,,,,,,,,,85.42
VW Golf GTI (Mk VI),187.5,,,,,,,92.74,86.6,86.07
Cadillac CTS 3.6 V6,187.69,,,,,,,,,
BMW 530d (F10),187.7,,,,,,,,,
Ford Mustang GT,187.77,,,,129.9,,,,,
Audi A5 Cabriolet 3.0 TDI,187.8,,,,,,,,,
Mercedes-Benz SL 350,187.83,,,,,,,,,
Mercedes-Benz CLS 500,187.9,,,,,,,,,
Mercedes-Benz CLK 63 AMG,187.98,,,,,,,,,
VW Golf GTI Edition 30 (Mk V),188.0,,,,,92.6,,89.18,,
Peugeot 206 RC,188.4,,,,,,,,,86.24
Renault Clio Sport F1 Team R27,188.44,,,,,,,,,
VW Golf GTI (Mk V),188.5,,,,,93.7,,93.81,,87.8
Citroen DS3 THP 150,188.8,,,,,,,,,
Seat Leon FR,188.81,,,,,,,,,
Mini Cooper S Works GP Kit,188.93,,,,111.73,,,91.75,,
Hyundai Genesis Coupe 2.0T,189.06,,,,,,,,,
Mazda 6 MPS,189.14,,,,,92.2,,,79.4,87.35
Infiniti G37 Convertible,189.27,,,,,,,,,
BMW 330i XDrive Touring,189.4,,,,,,,,,
Alfa Romeo Brera 3.2 JTS V6 Q4,189.5,,,,,,,,80.7,
BMW 330d XDrive touring,189.58,,,,,,,,,
Renault Clio RS III Coupe,190.2,,,,,,,,,
BMW X3 3.0sd,190.24,,,,,,,,,
Ford Fiesta ST,190.35,,,,111.25,92.7,,90.32,77.9,
Mercedes-Benz S 350,190.35,,,,,,,,,
E 350 CDI Cabriolet,190.4,,,,,,,,,
Porsche Cayenne S,190.6,,,,,,,,,
Honda Civic Type-R (FN2),190.7,,,,,93.5,,92.9,80.6,
Seat Leon FR TDI,190.74,,,,,,,,,
Saab 9-3 1.9 TTiD 180 (Mk II),190.78,,,,,,,,,
Renault Twingo RS (Mk II),190.81,,,,,,,93.86,,
Opel Corsa OPC (D),190.88,,,,,,,94.74,80.4,
BMW 123d,191.0,,,,,,,,,
Abarth Grande Punto,191.06,,,,,,,,,
Toyota GT86,191.13,,,,,91.3,,,77.9,86.22
Peugeot RCZ 1.6 155THP,191.2,,,,,,,,,
VW Golf 1.4 TSI (Mk V),191.23,,,,,,,,,
Citroen C2 VTS,191.3,,,,,,,95.26,,
BMW X6 35i,191.3,,,,,,,,,
BMW 120d,191.45,,,,,,,,,
BMW 125i Cabrio,191.71,,,,,,,,,
VW Scirocco 1.4 TSI (Mk III),191.77,,,,,,,,,
BMW 330d Cabrio,191.82,,,,,,,,,
Opel Corsa GSi (D),191.84,,,,,,,,,
Mito Quadrifoglio Verde,191.9,,,,,,,,83.7,87.5
Alfa Romeo GT 1.9 JTDm Q2,191.99,,,,,,,,,
Abarth Punto EVO,192.0,,,,,,,,,88.1
Chrysler Crossfire Roadster,192.05,,,,,,,,,
Opel Astra 2.0T,192.1,,,,,,,,,
BMW 320d Touring,192.1,,,,,,,,,
SLK 200 Kompressor,192.1,,,,,,,,,
Mini Cooper S JCW,192.2,,,,,,,,,
Mercedes-Benz E 250 CDI Coupe,192.37,,,,,,,,,
BMW X1 xDrive 23d,192.47,,,,,,,,,
300C 5.7 HEMI V8 TOURING,192.5,,,,,,,,,
Saab 9-3 2.8T Turbo X (Mk II),192.66,,,,,,,,,
Peugeot 407 Coupe 3.0 V6,192.74,,,,,,,,,
Audi Q5 3.0 TDI quattro (8R),192.92,,,,,,,,,
Opel Astra GTC 1.6 Turbo,192.98,,,,,,,,,
BMW 320d,193.2,,,,,,,,,
VW Golf 1.4 TSI (Mk VI 160PS),193.28,,,,,,,,,
VW Golf GTD (Mk VI),193.37,,,,,,,,,
Lexus IS 250,193.42,,,,,,,,,
VW Polo GTI,193.43,,,,,,,,,
VW Eos 2.0 TFSI,193.51,,,,,,,,,
Peugeot 308 1.6 THP,193.63,,,,,,,,,
Mazda 3 2.2 CD,193.74,,,,,,,,,
VW Golf 2.0 TDI (Mk V),193.85,,,,,,,,,
Mercedes-Benz S400 BlueHybrid,193.87,,,,,,,,,
Audi A4 Allroad 3.0 TDI (B8),193.95,,,,,,,,,
Mito 1.4 Multiair 135,193.98,,,,,,,,,
Opel Astra 2.0 CDTI Ecotec,194.1,,,,,,,,,
Volvo C30 D5,194.22,,,,,,,,,
Renault Megane Coupé TCe 180,194.23,,,,,,,,81.9,
Jaguar XF 3.0 V6 Diesel (Mk I),194.33,,,,,,,,,
Giulietta 1.4 Turbo Petrol Mu..,194.4,,,,,,,,,
BMW X5 3.0d SD,194.41,,,,,,,,,
Opel Astra Caravan 1.9 CDTi,194.7,,,,,,,,,
Ford Mondeo Tunier 2.2 TDCi,194.77,,,,,,,,,
BMW X6 xDrive 30d,194.88,,,,,,,,,
BMW 120i (170 PS),194.97,,,,,,,,,
Abarth 695 70° Anniversario,195.1,,,,,,,,,
Alfa Romeo 159 2.4 JTDm,195.18,,,,,,,,,
Suzuki Swift Sport,195.2,,,,,,,95.59,,
Volvo XC70 2.5T,195.47,,,,,,,,,
Jaguar XJ-6 2.7D,195.5,,,,,,,,,
Peugeot 207 150 Turbo,195.54,,,,,,,,,
Infiniti FX 37,195.56,,,,,,,,,
Fiat Grande Punto T - Jet,195.6,,,,,,,,,
GLK 320 CDI 4 Matic,195.63,,,,,,,,,
Volvo V50 D5 2.4,195.64,,,,,,,,,
Alfa Romeo 159 2.2 JTS,195.65,,,,,,,,,
Alfa Romeo Giulietta 2.0 JTDM,195.84,,,,,,,,,
Fiat Bravo 1.4 T-Jet,195.84,,,,,,,,,
Audi A4 2.0 TDI,195.87,,,,,,,,,
Porsche Cayenne Diesel,195.88,,,,,,,,,
BMW 320d Touring (163 PS E46),195.9,,,,,,,,,
Lexus IS 220d,196.23,,,,,,,,,
Chrysler 300C Touring 3.0 CRD,196.31,,,,,,,,,
Opel Astra 1.9 CDTi (150 PS),196.39,,,,,,,,,
Radical SR8 RX,,98.48,405.5,,,,,,,
McLaren Senna (P15),,98.5,,,87.62,,85.19,74.93,,
McLaren 720S,,101.65,428.0,65.5,89.78,,89.46,76.8,,70.22
Ferrari F8 Tributo,,103.26,,,92.27,,,,,70.45
Radical RXC Turbo 500,,103.38,,,,,,75.62,,
McLaren 600LT,,103.73,428.82,,92.7,75.1,,77.84,,
Lamborghini Huracán Evo,,104.0,,,92.85,,90.94,76.69,,70.78
McLaren 675LT,,104.04,,67.2,,73.7,90.52,77.48,,70.1
Porsche 911 GT3 RS,,104.06,453.0,65.4,96.77,81.0,86.39,77.68,,71.73
Ferrari 488 GTB,,104.28,441.0,67.0,91.68,,90.99,,,71.52
Porsche 911 GT2 RS (991),,104.35,,63.8,88.3,73.4,85.3,75.91,,68.25
Donkervoort D8 GTO ,,104.41,,,,,92.79,76.88,,
Radical SR3 RS,,104.53,,,,,,73.81,,
Porsche 911 Turbo S (992),,105.1,437.0,,92.97,,90.48,78.31,,
Radical SR3 SL (road-legal),,105.26,,68.1,,,,,,72.98
Radical SR3 SL,,105.26,,,,,,76.4,,
Chevrolet Corvette Z06 (C7),,105.44,433.9,66.9,93.05,,90.26,78.48,,71.34
McLaren 650 S,,106.16,,,,,93.15,,,72.29
McLaren MP4-12C Spider,,106.98,,69.2,,,93.69,79.8,,72.92
Porsche 911 GT2 RS (997),,107.08,438.0,68.4,95.56,,93.51,,,
McLaren 570S,,107.13,,68.8,94.58,,93.12,79.32,,73.51
Mercedes-Benz AMG GT R,,107.27,430.92,66.4,93.01,76.0,88.61,78.92,,
Porsche 911 Turbo S,,107.93,437.11,67.4,93.21,,87.69,82.9,,72.94
Ariel Atom 3 (300 PS),,108.7,,,,,,80.17,72.6,
Porsche 911 Carrera S (992),,109.22,450.0,,95.52,,92.36,80.36,,73.45
Lotus Exige S1,,109.26,,,,,,,,
Audi R8 V10 RWD,,109.34,,,,,,82.15,,
Porsche 718 Cayman GT4,,109.37,452.0,,96.14,,91.51,80.11,,73.95
Chevrolet Corvette ZR1,,109.5,439.63,66.9,92.46,80.4,88.44,79.33,,
Honda NSX (Mk II),,109.6,456.0,70.0,96.36,77.6,94.6,,,75.19
Jaguar XE SV Project 8,,109.77,438.36,,96.96,,93.16,,,
KTM X-Bow R,,109.98,445.0,,,,94.53,79.51,,
Porsche Taycan Turbo S,,110.35,,,,77.6,93.68,81.28,,74.98
Caterham Seven 485 R,,111.0,,,,,,,,
Nissan GT-R (R35 570PS),,111.35,,70.2,97.08,,93.87,79.45,,75.72
Jaguar F-Type SVR,,111.55,,71.2,98.75,,,,,76.49
Lotus Exige S Roadster,,112.09,,,,,,,,
Mercedes-Benz AMG GT 63 S,,112.24,443.01,,96.26,,92.59,80.49,,
Audi TT RS Coupe (Mk III),,113.11,468.0,71.2,99.95,84.9,,82.6,,77.14
Aston Martin DB11,,113.5,,73.6,100.05,81.5,,,,
Audi R8 V10 5.2 FSI Coupe,,113.51,,70.8,,,,,,
Porsche 718 Boxster S,,113.9,,71.0,,,,82.52,,
Mercedes-Benz SL 63 AMG,,114.04,,,,,,,,
Toyota Supra (Mk V 340 PS),,114.36,472.17,,100.57,83.1,,82.96,,
Civic Type R Limited Edition,,115.07,,,,,,,,
Alfa Romeo Giulia QV,,115.15,452.0,72.4,99.68,81.4,,83.35,,76.89
Aston Martin AM 310 Vanquish,,115.39,,,100.71,,,,,78.19
Porsche Boxster Spyder,,115.45,,,,84.9,,84.55,72.9,
Lotus Evora 400,,115.8,479.0,72.3,,,,,,
Lexus RC F Track Edition,,115.81,,,,,,,,
Audi RS5 (9T),,116.06,,,,,,,,77.98
BMW M2 (F87),,116.25,478.0,72.2,,,,83.5,,78.4
Porsche Cayman S (981),,116.44,475.0,72.8,101.26,,,,72.7,
Porsche 911 Carrera GTS (997),,116.61,,72.9,,,,85.52,,
BMW Z4 M40i (G29),,116.76,475.41,,,,,83.06,,
BMW M6 Gran Coupe,,116.81,,,,,,,73.3,
Jaguar F-Type R Coupe,,116.83,,,102.0,81.6,,84.84,,
C63 AMG Coupe  Pac..,,116.97,481.0,73.6,,,,,,
Aston Martin V8 Vantage S,,117.5,,73.7,,,,84.85,,79.37
Mercedes-Benz C 63 AMG S,,117.92,,71.9,100.5,,,85.4,,
Chevrolet Camaro SS,,118.27,,,105.7,87.9,,86.61,,
Jaguar F-Type V6 S,,118.45,,,,,,,,79.46
BMW 1 Series M Coupe,,118.89,,,103.31,85.0,,86.5,,
Caterham 7 CSR 175,,119.1,,,,,,,,
Mercedes - AMG One,,,390.7,,,,,,,
McLaren P1 LM,,,403.2,,,,,,,
AMG GT Black Series,,,403.62,,,,85.62,,,
Porsche 911 GT3 RS (992),,,404.85,,,,,,,
Lamborghini Aventador SVJ,,,404.97,,,,,77.17,,
Radical SR8LM,,,408.0,,,,,,,
Radical SR8,,,415.0,,,,,,,
Subaru WRX STI,,,417.5,,107.16,,,,75.4,
Ferrari 488 Pista,,,420.03,,,72.7,,76.06,,69.43
Dodge Viper ACR (Mk V),,,421.3,,88.65,75.1,90.92,,,
Porsche 718 Cayman GT4 RS,,,424.51,,,,89.12,79.13,,
Mercedes-Benz AMG GT R Pro,,,424.63,,,,88.48,,,
Nio EP9,,,425.12,,,,,,,
Nissan GT-R Nismo (R35),,,428.68,69.1,95.01,,92.81,80.61,,
Gumpert Apollo Sport,,,431.57,67.2,,77.1,,,,
Dodge Viper SRT-10 ACR,,,432.13,,93.92,,,,,
Lexus LFA Nurburgring Package,,,434.64,69.5,,,,,,
Donkervoort D8 RS,,,434.89,,,,,,,
BMW M4 CSL,,,435.67,,,,89.54,80.1,,
Camaro ZL1 1LE Package,,,436.04,69.6,94.3,,,,,
Radical SR3 Turbo,,,439.0,,,,,,,
Nissan GT-R (R35 550 PS),,,439.1,69.6,96.63,,,80.55,69.4,75.56
Corvette Z06 Z07 Package,,,442.68,68.7,94.43,,,80.58,,
Maserati MC12,,,444.29,,,78.9,,,,
Pagani Zonda F Clubsport,,,444.65,,,,,,,
Porsche Panamera Turbo S ,,,445.04,,,,,,,
Ferrari Enzo,,,445.21,,,79.0,,,,77.45
SLS AMG Black Series,,,445.67,68.2,95.03,79.0,93.38,,,
KTM X-BOW RR,,,445.72,,,,,,,
Porsche 911 GT3 RS 4.0 (997),,,447.0,69.5,93.1,,93.8,80.3,,76.39
Ferrari 812 Superfast,,,447.48,67.8,,,,,,72.18
AMG GT 63 S E ,,,448.0,,,,92.84,81.11,,
BMW M4 Competition xDrive,,,448.57,,,,,,,
Porsche 911 Turbo (991),,,449.0,69.3,,,92.55,,,
BMW M5 CS,,,449.57,,,,92.38,,,
Chevrolet Camaro ZL1 (Mk VI),,,449.6,,,,95.18,,,
Mercedes-Benz SLS AMG GT,,,450.0,69.8,,,,,,
BMW M4 Competition Coupe,,,450.79,,,,92.76,,,74.18
BMW M8 Competition (G15),,,452.79,,,86.2,91.33,82.18,,
Ferrari F12 Berlinetta,,,453.0,69.9,98.04,,,,,74.08
Pagani Zonda F,,,453.0,70.8,,78.4,,,,
Koenigsegg CCX,,,453.55,,,77.6,,,,
Porsche Cayenne Turbo GT,,,453.95,,,81.2,95.1,,,
Audi R8 GT (Mk I),,,454.0,69.6,96.39,,94.45,,,75.04
Koenigsegg CCR,,,454.0,69.8,,,,,,
McLaren 650 S Spider,,,455.0,68.7,,,93.15,,67.6,
RUF RT12,,,455.0,70.2,,,,,,
Audi RS 3 Limousine (8Y),,,455.52,,,,,,,
BMW M5 Competition (F90),,,456.0,70.4,,,93.77,,,
Chevrolet Camaro Z/28,,,457.47,70.8,97.82,,,,,
